Longitude,Latitude,Year,Scientific.Name,Source
-170.62657586,-14.24780041,2012,Genus Tridacna,RAMP/NCRMP
-170.626533,-14.25559,2004,Genus Tridacna,RAMP/NCRMP
-170.62475552,-14.25564,2004,Genus Tridacna,RAMP/NCRMP
-170.62365725,-14.24701725,2008,Genus Tridacna,RAMP/NCRMP
-170.62356256,-14.24675828,2010,Genus Tridacna,RAMP/NCRMP
-170.62319441,-14.24671802,2012,Genus Tridacna,RAMP/NCRMP
-170.62302146,-14.25538715,2004,Genus Tridacna,RAMP/NCRMP
-170.62257281,-14.27724099,2008,Genus Tridacna,RAMP/NCRMP
-170.62175428,-14.24625186,2010,Genus Tridacna,RAMP/NCRMP
-170.62141939,-14.25066132,2010,Genus Tridacna,RAMP/NCRMP
-170.62141135,-14.24757902,2010,Genus Tridacna,RAMP/NCRMP
-170.62125686,-14.25532843,2004,Genus Tridacna,RAMP/NCRMP
-170.62119726,-14.24896404,2008,Genus Tridacna,RAMP/NCRMP
-170.62097436,-14.25535891,2006,Genus Tridacna,RAMP/NCRMP
-170.61770143,-14.29837646,2008,Genus Tridacna,RAMP/NCRMP
-170.61621142,-14.29904871,2008,Genus Tridacna,RAMP/NCRMP
-170.61494309,-14.25209397,2008,Genus Tridacna,RAMP/NCRMP
-170.61490287,-14.25198294,2012,Genus Tridacna,RAMP/NCRMP
-170.61119933,-14.25254408,2012,Genus Tridacna,RAMP/NCRMP
-170.60808812,-14.27846482,2008,Genus Tridacna,RAMP/NCRMP
-170.60799439,-14.25413075,2008,Genus Tridacna,RAMP/NCRMP
-170.60553744,-14.25564656,2008,Genus Tridacna,RAMP/NCRMP
-170.6048833,-14.25412322,2004,Genus Tridacna,RAMP/NCRMP
-170.60370725,-14.25331929,2010,Genus Tridacna,RAMP/NCRMP
-170.60154794,-14.28491,2004,Genus Tridacna,RAMP/NCRMP
-170.60124216,-14.25396,2004,Genus Tridacna,RAMP/NCRMP
-170.59873622,-14.28720243,2006,Genus Tridacna,RAMP/NCRMP
-170.59796779,-14.28665169,2010,Genus Tridacna,RAMP/NCRMP
-170.59751665,-14.25410112,2004,Genus Tridacna,RAMP/NCRMP
-170.59508228,-14.28355047,2008,Genus Tridacna,RAMP/NCRMP
-170.59490444,-14.2534274,2006,Genus Tridacna,RAMP/NCRMP
-170.59468571,-14.25251442,2012,Genus Tridacna,RAMP/NCRMP
-170.5936871,-14.25625193,2006,Genus Tridacna,RAMP/NCRMP
-170.59362743,-14.28127775,2008,Genus Tridacna,RAMP/NCRMP
-170.5924892,-14.2810796,2004,Genus Tridacna,RAMP/NCRMP
-170.59056417,-14.25593861,2006,Genus Tridacna,RAMP/NCRMP
-170.58970897,-14.25727103,2006,Genus Tridacna,RAMP/NCRMP
-170.5874,-14.25401271,2004,Genus Tridacna,RAMP/NCRMP
-170.58721448,-14.25166344,2004,Genus Tridacna,RAMP/NCRMP
-170.58678292,-14.24983563,2010,Genus Tridacna,RAMP/NCRMP
-170.58643854,-14.24955854,2004,Genus Tridacna,RAMP/NCRMP
-170.58487903,-14.2488023,2008,Genus Tridacna,RAMP/NCRMP
-170.58439858,-14.24911457,2004,Genus Tridacna,RAMP/NCRMP
-170.58287221,-14.24919155,2008,Genus Tridacna,RAMP/NCRMP
-170.58212695,-14.24798598,2008,Genus Tridacna,RAMP/NCRMP
-170.58161679,-14.24682231,2008,Genus Tridacna,RAMP/NCRMP
-170.58084674,-14.27765995,2010,Genus Tridacna,RAMP/NCRMP
-170.58029662,-14.24667225,2012,Genus Tridacna,RAMP/NCRMP
-170.57959736,-14.24660912,2004,Genus Tridacna,RAMP/NCRMP
-170.57941286,-14.24654,2010,Genus Tridacna,RAMP/NCRMP
-170.57772372,-14.24548581,2004,Genus Tridacna,RAMP/NCRMP
-170.57568878,-14.29978585,2004,Genus Tridacna,RAMP/NCRMP
-170.57497598,-14.24502766,2012,Genus Tridacna,RAMP/NCRMP
-170.57458572,-14.29927,2006,Genus Tridacna,RAMP/NCRMP
-170.57428286,-14.24519364,2008,Genus Tridacna,RAMP/NCRMP
-170.57389185,-14.24517954,2004,Genus Tridacna,RAMP/NCRMP
-170.57385574,-14.29918858,2004,Genus Tridacna,RAMP/NCRMP
-170.57381374,-14.30041247,2010,Genus Tridacna,RAMP/NCRMP
